Unnamed: 0,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
64829,192.168.3.117-203.73.24.75-1259-80-6,192.168.3.117,1259,203.73.24.75,80,6,12/06/2010 02:59:56 PM,1680,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1785.7142857142856,840.0,660.4377336282354,1307.0,373.0,373.0,373.0,0.0,373.0,373.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,1190.4761904761906,595.2380952380953,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,17520,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
141501,192.168.2.108-203.73.24.75-4056-80-6,192.168.2.108,4056,203.73.24.75,80,6,12/06/2010 10:57:03 PM,488380,3,6,93.0,3787.0,93.0,0.0,31.0,53.6935750346352,1460.0,0.0,631.1666666666666,724.5220263502463,7944.633277365986,18.42827306605513,61047.5,107785.53591010516,240273.0,221.0,247610.0,123805.0,174651.1323123901,247302.0,308.0,488380.0,97676.0,126199.92552691938,240273.0,1468.0,0,0,0,0,60,136,6.14275768868504,12.28551537737008,0.0,1460.0,388.0,625.2197835783652,390899.77777777775,0,1,0,0,0,0,0,0,2.0,431.1111111111112,31.0,631.1666666666666,0,0,0,0,0,0,3,93,6,3787,-1,5840,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
147218,192.168.56.1-97.74.144.108-57990-80-6,192.168.56.1,57990,97.74.144.108,80,6,12/06/2010 11:52:40 PM,40818344,7,6,932.0,508.0,231.0,0.0,133.14285714285714,122.07842912301443,508.0,0.0,84.66666666666666,207.3901315556424,35.278256266349274,0.31848425796009755,3401528.666666666,10855229.942763202,37816141.0,3.0,40816561.0,6802760.166666666,15214332.95535223,37816193.0,72.0,40818344.0,8163668.8,16600002.898088368,37816141.0,9.0,0,0,0,0,224,208,0.17149152351697558,0.14699273444312194,0.0,508.0,102.85714285714286,157.73827258266346,24881.362637362643,0,1,0,0,0,0,0,0,0.0,110.76923076923076,133.14285714285714,84.66666666666667,0,0,0,0,0,0,7,932,6,508,-1,122,5,0,3000510.0,0.0,3000510.0,3000510.0,37816141.0,0.0,37816141.0,37816141.0,ddos
276709,192.168.56.1-97.74.144.108-36505-80-6,192.168.56.1,36505,97.74.144.108,80,6,13/06/2010 12:21:16 AM,11,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181818.18181818182,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,11.0,0,0,0,0,0,64,0.0,181818.18181818182,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,243,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
284771,192.168.56.102-97.74.144.108-8231-80-6,192.168.56.102,8231,97.74.144.108,80,6,12/06/2010 11:59:21 AM,29094311,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06874196127208511,29094311.0,0.0,29094311.0,29094311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,0.034370980636042554,0.034370980636042554,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1024,0,0,0.0,0.0,0.0,0.0,29094311.0,0.0,29094311.0,29094311.0,ddos
16607,172.31.69.25-18.219.211.138-80-55530-6,18.219.211.138,55530,172.31.69.25,80,6,15/02/2018 07:00:06 PM,1806020,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.107407448422498,1806020.0,0.0,1806020.0,1806020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.553703724211249,0.553703724211249,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,221,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
34936,172.31.69.25-18.219.211.138-80-38474-6,18.219.211.138,38474,172.31.69.25,80,6,15/02/2018 07:26:02 PM,266593,4,4,399.0,662.0,399.0,0.0,99.75,199.5,662.0,0.0,165.5,331.0,3979.849433405978,30.008289790054498,38084.71428571429,100330.65879001342,265613.0,7.0,266276.0,88758.66666666669,153160.65814801573,265613.0,22.0,695.0,231.66666666666663,194.60815330641552,348.0,7.0,0,0,0,0,128,144,15.004144895027249,15.004144895027249,0.0,662.0,117.88888888888887,242.9930268775446,59045.611111111124,0,1,0,0,0,0,0,0,1.0,132.625,99.75,165.5,0,0,0,0,0,0,4,399,4,662,-1,219,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
38529,172.31.69.25-18.219.211.138-80-60904-6,18.219.211.138,60904,172.31.69.25,80,6,15/02/2018 07:24:35 PM,2171006,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9212319081568636,2171006.0,0.0,2171006.0,2171006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.4606159540784318,0.4606159540784318,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,226,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
41294,172.31.69.25-18.219.211.138-80-58754-6,18.219.211.138,58754,172.31.69.25,80,6,15/02/2018 07:23:53 PM,16060714,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12452746496824485,16060714.0,0.0,16060714.0,16060714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.062263732484122425,0.062263732484122425,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,226,0,0,0.0,0.0,0.0,0.0,16060714.0,0.0,16060714.0,16060714.0,ddos
12925,172.31.69.28-18.219.5.43-80-55625-6,18.219.5.43,55625,172.31.69.28,80,6,21/02/2018 11:41:27 PM,30357,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.88266297723754,30357.0,0.0,30357.0,30357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,32.94133148861877,32.94133148861877,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
